,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
7,1.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0
13,1.0,4.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,0.0,0.0,0.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,0.0
21,0.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0
26,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0
28,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0
29,0.0,4.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,0.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0
37,1.0,1.0,4.0,4.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0
46,3.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0
52,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
57,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0
58,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,3.0,3.0,4.0,2.0,0.0
65,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0
71,0.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,0.0,3.0,0.0
72,0.0,3.0,1.0,3.0,4.0,2.0,1.0,4.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,3.0,0.0,4.0,1.0
79,0.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0
82,3.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0
84,0.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,1.0
93,0.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0
95,1.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,0.0
98,0.0,1.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0
116,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,0.0,4.0,0.0
129,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
131,0.0,0.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,0.0
133,0.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0
136,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,1.0,4.0,0.0,4.0,0.0
139,0.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0
146,0.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0
148,0.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,4.0,4.0,0.0,3.0,2.0
149,0.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0
165,0.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0
173,3.0,1.0,0.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,4.0,3.0,3.0,0.0,2.0,0.0,4.0,0.0
176,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0
190,0.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0
203,0.0,0.0,0.0,3.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0
205,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,4.0,2.0,1.0
207,0.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0
232,1.0,2.0,1.0,4.0,4.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,4.0,3.0,2.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0,4.0,1.0
241,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,0.0,3.0,0.0
244,0.0,3.0,1.0,4.0,4.0,1.0,3.0,4.0,2.0,0.0,2.0,3.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0
253,3.0,5.0,4.0,5.0,1.0,4.0,5.0,3.0,0.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0
255,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0
261,0.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,0.0,2.0,4.0,5.0,0.0,1.0,2.0,2.0,3.0,1.0
262,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0
270,1.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0
275,1.0,1.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0
296,0.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0
305,0.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0
307,1.0,1.0,0.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0
310,0.0,3.0,3.0,1.0,4.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0
313,0.0,0.0,1.0,4.0,4.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0
314,1.0,3.0,4.0,3.0,2.0,3.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0
316,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0
319,1.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0
322,0.0,5.0,1.0,3.0,3.0,2.0,3.0,0.0,2.0,0.0,2.0,3.0,3.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
324,1.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
330,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
339,0.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0
341,0.0,2.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0
347,0.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0
348,0.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,0.0
353,0.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0
362,0.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0
363,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0
367,0.0,1.0,4.0,4.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0
376,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,3.0,1.0
380,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,2.0,5.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,0.0
383,2.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0
385,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
387,0.0,0.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0
397,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,3.0,1.0
402,0.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0
423,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0
425,0.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0
428,0.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0
436,0.0,0.0,0.0,4.0,4.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,0.0,4.0,0.0
437,1.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0
438,0.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,0.0
443,1.0,1.0,4.0,3.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,4.0,1.0,4.0
448,3.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0
453,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,5.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,4.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0
454,0.0,1.0,1.0,3.0,4.0,0.0,2.0,4.0,4.0,0.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0
456,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
458,0.0,2.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0
461,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0
468,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0
477,3.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0
478,0.0,1.0,1.0,3.0,4.0,5.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0
481,0.0,0.0,3.0,2.0,3.0,4.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0
482,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,2.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0
484,0.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0
491,0.0,1.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,0.0
494,0.0,3.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0
495,1.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0
496,0.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
499,0.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0
502,0.0,1.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,4.0,4.0,2.0,1.0
507,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0
515,0.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0
516,0.0,1.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0
523,0.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0
526,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0
532,4.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0
533,0.0,2.0,1.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,0.0
534,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0
541,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0
558,0.0,3.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0
559,1.0,3.0,3.0,1.0,4.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0
562,0.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,5.0,4.0,0.0,3.0,3.0,2.0,3.0,0.0,3.0,4.0,4.0,0.0
564,0.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0
567,0.0,0.0,3.0,4.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0
569,0.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,4.0,0.0
573,0.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
